Name, Value, Epoch, Run
f_activation.alpha,0.3127395212650299,0,1
f_activation.beta,0.27026933431625366,0,1
layer1.0.f_activation.alpha,0.3127395212650299,0,1
layer1.0.f_activation.beta,0.27026933431625366,0,1
layer1.1.f_activation.alpha,0.3127395212650299,0,1
layer1.1.f_activation.beta,0.27026933431625366,0,1
layer2.0.f_activation.alpha,0.3127395212650299,0,1
layer2.0.f_activation.beta,0.27026933431625366,0,1
layer2.1.f_activation.alpha,0.3127395212650299,0,1
layer2.1.f_activation.beta,0.27026933431625366,0,1
layer3.0.f_activation.alpha,0.3127395212650299,0,1
layer3.0.f_activation.beta,0.27026933431625366,0,1
layer3.1.f_activation.alpha,0.3127395212650299,0,1
layer3.1.f_activation.beta,0.27026933431625366,0,1
layer4.0.f_activation.alpha,0.3127395212650299,0,1
layer4.0.f_activation.beta,0.27026933431625366,0,1
layer4.1.f_activation.alpha,0.3127395212650299,0,1
layer4.1.f_activation.beta,0.27026933431625366,0,1
f_activation.alpha,0.43487226963043213,1,1
f_activation.beta,0.8211831450462341,1,1
layer1.0.f_activation.alpha,0.9370272159576416,1,1
layer1.0.f_activation.beta,1.1477715969085693,1,1
layer1.1.f_activation.alpha,0.1523328572511673,1,1
layer1.1.f_activation.beta,-0.06939695030450821,1,1
layer2.0.f_activation.alpha,0.24576576054096222,1,1
layer2.0.f_activation.beta,0.17996437847614288,1,1
layer2.1.f_activation.alpha,0.10562223196029663,1,1
layer2.1.f_activation.beta,-0.003739147912710905,1,1
layer3.0.f_activation.alpha,0.34902071952819824,1,1
layer3.0.f_activation.beta,4.2387706344015896e-05,1,1
layer3.1.f_activation.alpha,0.24207580089569092,1,1
layer3.1.f_activation.beta,0.0002211301907664165,1,1
layer4.0.f_activation.alpha,0.8956446051597595,1,1
layer4.0.f_activation.beta,-9.632683031668421e-06,1,1
layer4.1.f_activation.alpha,0.776636004447937,1,1
layer4.1.f_activation.beta,3.44511863659136e-05,1,1
f_activation.alpha,0.5255593657493591,2,1
f_activation.beta,1.167531132698059,2,1
layer1.0.f_activation.alpha,1.379407525062561,2,1
layer1.0.f_activation.beta,1.0507886409759521,2,1
layer1.1.f_activation.alpha,0.04133303835988045,2,1
layer1.1.f_activation.beta,0.038167376071214676,2,1
layer2.0.f_activation.alpha,0.3685588538646698,2,1
layer2.0.f_activation.beta,0.27823784947395325,2,1
layer2.1.f_activation.alpha,0.002056095516309142,2,1
layer2.1.f_activation.beta,0.005929687991738319,2,1
layer3.0.f_activation.alpha,0.38239818811416626,2,1
layer3.0.f_activation.beta,0.042053692042827606,2,1
layer3.1.f_activation.alpha,0.40194016695022583,2,1
layer3.1.f_activation.beta,-0.011782721616327763,2,1
layer4.0.f_activation.alpha,0.859398603439331,2,1
layer4.0.f_activation.beta,0.07166272401809692,2,1
layer4.1.f_activation.alpha,0.7962427139282227,2,1
layer4.1.f_activation.beta,-1.4570792927770526e-07,2,1
f_activation.alpha,0.5669216513633728,3,1
f_activation.beta,1.3626720905303955,3,1
layer1.0.f_activation.alpha,1.6993852853775024,3,1
layer1.0.f_activation.beta,0.97601318359375,3,1
layer1.1.f_activation.alpha,-0.09539861232042313,3,1
layer1.1.f_activation.beta,-0.0051918658427894115,3,1
layer2.0.f_activation.alpha,0.454912394285202,3,1
layer2.0.f_activation.beta,0.6740333437919617,3,1
layer2.1.f_activation.alpha,0.05220039188861847,3,1
layer2.1.f_activation.beta,0.05829060450196266,3,1
layer3.0.f_activation.alpha,0.3918638825416565,3,1
layer3.0.f_activation.beta,0.08373259007930756,3,1
layer3.1.f_activation.alpha,0.21214070916175842,3,1
layer3.1.f_activation.beta,-0.17377164959907532,3,1
layer4.0.f_activation.alpha,0.810096025466919,3,1
layer4.0.f_activation.beta,-0.006551564671099186,3,1
layer4.1.f_activation.alpha,0.7786318063735962,3,1
layer4.1.f_activation.beta,0.2611147165298462,3,1
f_activation.alpha,0.6201000809669495,4,1
f_activation.beta,1.5263352394104004,4,1
layer1.0.f_activation.alpha,1.8716332912445068,4,1
layer1.0.f_activation.beta,0.7847903370857239,4,1
layer1.1.f_activation.alpha,0.0009301342070102692,4,1
layer1.1.f_activation.beta,-0.03639913350343704,4,1
layer2.0.f_activation.alpha,0.6437903642654419,4,1
layer2.0.f_activation.beta,0.6342072486877441,4,1
layer2.1.f_activation.alpha,-0.019682111218571663,4,1
layer2.1.f_activation.beta,0.0011383150704205036,4,1
layer3.0.f_activation.alpha,0.4019410014152527,4,1
layer3.0.f_activation.beta,0.07564540207386017,4,1
layer3.1.f_activation.alpha,0.4635418653488159,4,1
layer3.1.f_activation.beta,0.0008507080492563546,4,1
layer4.0.f_activation.alpha,0.7412749528884888,4,1
layer4.0.f_activation.beta,0.0022596355993300676,4,1
layer4.1.f_activation.alpha,0.753065824508667,4,1
layer4.1.f_activation.beta,1.5455840826034546,4,1
f_activation.alpha,0.61696457862854,5,1
f_activation.beta,1.302430272102356,5,1
layer1.0.f_activation.alpha,1.9700605869293213,5,1
layer1.0.f_activation.beta,0.8238430023193359,5,1
layer1.1.f_activation.alpha,-0.17685610055923462,5,1
layer1.1.f_activation.beta,-0.039585232734680176,5,1
layer2.0.f_activation.alpha,0.8101283311843872,5,1
layer2.0.f_activation.beta,0.4985162019729614,5,1
layer2.1.f_activation.alpha,-0.01132521964609623,5,1
layer2.1.f_activation.beta,0.008229893632233143,5,1
layer3.0.f_activation.alpha,0.470788836479187,5,1
layer3.0.f_activation.beta,-0.01587819680571556,5,1
layer3.1.f_activation.alpha,0.6379753947257996,5,1
layer3.1.f_activation.beta,-0.006860992405563593,5,1
layer4.0.f_activation.alpha,0.6999549865722656,5,1
