Name, Value, Epoch, Run
f_activation.alpha,0.1846628338098526,0,5
f_activation.beta,0.030073365196585655,0,5
layer1.0.f_activation.alpha,0.1846628338098526,0,5
layer1.0.f_activation.beta,0.030073365196585655,0,5
layer1.1.f_activation.alpha,0.1846628338098526,0,5
layer1.1.f_activation.beta,0.030073365196585655,0,5
layer2.0.f_activation.alpha,0.1846628338098526,0,5
layer2.0.f_activation.beta,0.030073365196585655,0,5
layer2.1.f_activation.alpha,0.1846628338098526,0,5
layer2.1.f_activation.beta,0.030073365196585655,0,5
layer3.0.f_activation.alpha,0.1846628338098526,0,5
layer3.0.f_activation.beta,0.030073365196585655,0,5
layer3.1.f_activation.alpha,0.1846628338098526,0,5
layer3.1.f_activation.beta,0.030073365196585655,0,5
layer4.0.f_activation.alpha,0.1846628338098526,0,5
layer4.0.f_activation.beta,0.030073365196585655,0,5
layer4.1.f_activation.alpha,0.1846628338098526,0,5
layer4.1.f_activation.beta,0.030073365196585655,0,5
f_activation.alpha,-0.5005360245704651,1,5
f_activation.beta,-1.2289717197418213,1,5
layer1.0.f_activation.alpha,-0.5734813809394836,1,5
layer1.0.f_activation.beta,1.2998417615890503,1,5
layer1.1.f_activation.alpha,-7.081571766320849e-06,1,5
layer1.1.f_activation.beta,-0.003521628212183714,1,5
layer2.0.f_activation.alpha,0.3433688282966614,1,5
layer2.0.f_activation.beta,-0.004108752589672804,1,5
layer2.1.f_activation.alpha,-0.03812394663691521,1,5
layer2.1.f_activation.beta,-0.07739041745662689,1,5
layer3.0.f_activation.alpha,0.22292573750019073,1,5
layer3.0.f_activation.beta,0.0023667418863624334,1,5
layer3.1.f_activation.alpha,0.1854296177625656,1,5
layer3.1.f_activation.beta,0.003988809417933226,1,5
layer4.0.f_activation.alpha,0.8485792279243469,1,5
layer4.0.f_activation.beta,0.001682405942119658,1,5
layer4.1.f_activation.alpha,0.7641115784645081,1,5
layer4.1.f_activation.beta,-0.0026607816107571125,1,5
f_activation.alpha,-0.648014485836029,2,5
f_activation.beta,-1.5063196420669556,2,5
layer1.0.f_activation.alpha,-0.826257586479187,2,5
layer1.0.f_activation.beta,1.6474542617797852,2,5
layer1.1.f_activation.alpha,-0.08444502204656601,2,5
layer1.1.f_activation.beta,0.5948076248168945,2,5
layer2.0.f_activation.alpha,0.4920823872089386,2,5
layer2.0.f_activation.beta,0.1946130096912384,2,5
layer2.1.f_activation.alpha,0.16403068602085114,2,5
layer2.1.f_activation.beta,0.06168530881404877,2,5
layer3.0.f_activation.alpha,0.30319201946258545,2,5
layer3.0.f_activation.beta,-0.0021797816734761,2,5
layer3.1.f_activation.alpha,0.09983977675437927,2,5
layer3.1.f_activation.beta,0.004622605163604021,2,5
layer4.0.f_activation.alpha,0.7389758825302124,2,5
layer4.0.f_activation.beta,0.1048848032951355,2,5
layer4.1.f_activation.alpha,0.7250502109527588,2,5
layer4.1.f_activation.beta,-0.7377285957336426,2,5
f_activation.alpha,-0.8115021586418152,3,5
f_activation.beta,-1.6572279930114746,3,5
layer1.0.f_activation.alpha,-1.1215866804122925,3,5
layer1.0.f_activation.beta,1.076233983039856,3,5
layer1.1.f_activation.alpha,0.01950099691748619,3,5
layer1.1.f_activation.beta,0.7271481156349182,3,5
layer2.0.f_activation.alpha,0.49936187267303467,3,5
layer2.0.f_activation.beta,-0.2563236951828003,3,5
layer2.1.f_activation.alpha,-0.04512802138924599,3,5
layer2.1.f_activation.beta,0.0035239860881119967,3,5
layer3.0.f_activation.alpha,0.37007781863212585,3,5
layer3.0.f_activation.beta,0.0138492900878191,3,5
layer3.1.f_activation.alpha,0.23367264866828918,3,5
layer3.1.f_activation.beta,0.10589610040187836,3,5
layer4.0.f_activation.alpha,0.6948096752166748,3,5
layer4.0.f_activation.beta,0.09617932140827179,3,5
layer4.1.f_activation.alpha,0.725574254989624,3,5
layer4.1.f_activation.beta,-1.7029670476913452,3,5
f_activation.alpha,-0.7588002681732178,4,5
f_activation.beta,-1.3804832696914673,4,5
layer1.0.f_activation.alpha,-1.4083468914031982,4,5
layer1.0.f_activation.beta,0.6847056746482849,4,5
layer1.1.f_activation.alpha,-0.05591908469796181,4,5
layer1.1.f_activation.beta,0.41641518473625183,4,5
layer2.0.f_activation.alpha,0.5763377547264099,4,5
layer2.0.f_activation.beta,-0.0015527682844549417,4,5
layer2.1.f_activation.alpha,-0.11561963707208633,4,5
layer2.1.f_activation.beta,0.00587015226483345,4,5
layer3.0.f_activation.alpha,0.4718497693538666,4,5
layer3.0.f_activation.beta,0.11883553117513657,4,5
layer3.1.f_activation.alpha,-0.5644145011901855,4,5
layer3.1.f_activation.beta,0.06454344838857651,4,5
layer4.0.f_activation.alpha,0.7042535543441772,4,5
layer4.0.f_activation.beta,0.2161857783794403,4,5
layer4.1.f_activation.alpha,0.6184998154640198,4,5
layer4.1.f_activation.beta,-1.6614108085632324,4,5
f_activation.alpha,-0.8156564831733704,5,5
f_activation.beta,-1.0731233358383179,5,5
layer1.0.f_activation.alpha,-1.6906996965408325,5,5
layer1.0.f_activation.beta,0.5900855660438538,5,5
layer1.1.f_activation.alpha,0.0061133927665650845,5,5
layer1.1.f_activation.beta,0.14873315393924713,5,5
layer2.0.f_activation.alpha,0.6674961447715759,5,5
layer2.0.f_activation.beta,0.010871639475226402,5,5
layer2.1.f_activation.alpha,0.3356432616710663,5,5
layer2.1.f_activation.beta,-0.009864629246294498,5,5
layer3.0.f_activation.alpha,0.38305234909057617,5,5
layer3.0.f_activation.beta,0.01644335687160492,5,5
