Name, Value, Epoch, Run
f_activation.alpha,0.3944907784461975,0,5
f_activation.beta,0.13127177953720093,0,5
layer1.0.f_activation.alpha,0.3944907784461975,0,5
layer1.0.f_activation.beta,0.13127177953720093,0,5
layer1.1.f_activation.alpha,0.3944907784461975,0,5
layer1.1.f_activation.beta,0.13127177953720093,0,5
layer2.0.f_activation.alpha,0.3944907784461975,0,5
layer2.0.f_activation.beta,0.13127177953720093,0,5
layer2.1.f_activation.alpha,0.3944907784461975,0,5
layer2.1.f_activation.beta,0.13127177953720093,0,5
layer3.0.f_activation.alpha,0.3944907784461975,0,5
layer3.0.f_activation.beta,0.13127177953720093,0,5
layer3.1.f_activation.alpha,0.3944907784461975,0,5
layer3.1.f_activation.beta,0.13127177953720093,0,5
layer4.0.f_activation.alpha,0.3944907784461975,0,5
layer4.0.f_activation.beta,0.13127177953720093,0,5
layer4.1.f_activation.alpha,0.3944907784461975,0,5
layer4.1.f_activation.beta,0.13127177953720093,0,5
f_activation.alpha,0.3906412720680237,1,5
f_activation.beta,0.13413110375404358,1,5
layer1.0.f_activation.alpha,0.3897680640220642,1,5
layer1.0.f_activation.beta,0.1296880692243576,1,5
layer1.1.f_activation.alpha,0.388988733291626,1,5
layer1.1.f_activation.beta,0.12839092314243317,1,5
layer2.0.f_activation.alpha,0.3908000588417053,1,5
layer2.0.f_activation.beta,0.12688051164150238,1,5
layer2.1.f_activation.alpha,0.3909045159816742,1,5
layer2.1.f_activation.beta,0.12943392992019653,1,5
layer3.0.f_activation.alpha,0.39192670583724976,1,5
layer3.0.f_activation.beta,0.1279461830854416,1,5
layer3.1.f_activation.alpha,0.3940432369709015,1,5
layer3.1.f_activation.beta,0.13020730018615723,1,5
layer4.0.f_activation.alpha,0.39853784441947937,1,5
layer4.0.f_activation.beta,0.1371317207813263,1,5
layer4.1.f_activation.alpha,0.4022061824798584,1,5
layer4.1.f_activation.beta,0.13873977959156036,1,5
f_activation.alpha,0.38763272762298584,2,5
f_activation.beta,0.13751506805419922,2,5
layer1.0.f_activation.alpha,0.3858811557292938,2,5
layer1.0.f_activation.beta,0.1295558512210846,2,5
layer1.1.f_activation.alpha,0.3857012987136841,2,5
layer1.1.f_activation.beta,0.1274939477443695,2,5
layer2.0.f_activation.alpha,0.3908732235431671,2,5
layer2.0.f_activation.beta,0.1246800422668457,2,5
layer2.1.f_activation.alpha,0.39104416966438293,2,5
layer2.1.f_activation.beta,0.1287895292043686,2,5
layer3.0.f_activation.alpha,0.39372318983078003,2,5
layer3.0.f_activation.beta,0.1287650316953659,2,5
layer3.1.f_activation.alpha,0.3970215916633606,2,5
layer3.1.f_activation.beta,0.13234341144561768,2,5
layer4.0.f_activation.alpha,0.40675729513168335,2,5
layer4.0.f_activation.beta,0.14425499737262726,2,5
layer4.1.f_activation.alpha,0.41009655594825745,2,5
layer4.1.f_activation.beta,0.14647066593170166,2,5
f_activation.alpha,0.3851328194141388,3,5
f_activation.beta,0.14098979532718658,3,5
layer1.0.f_activation.alpha,0.38187965750694275,3,5
layer1.0.f_activation.beta,0.12912064790725708,3,5
layer1.1.f_activation.alpha,0.38263800740242004,3,5
layer1.1.f_activation.beta,0.1265122890472412,3,5
layer2.0.f_activation.alpha,0.3909638226032257,3,5
layer2.0.f_activation.beta,0.12371932715177536,3,5
layer2.1.f_activation.alpha,0.39238202571868896,3,5
layer2.1.f_activation.beta,0.1299334466457367,3,5
layer3.0.f_activation.alpha,0.39753589034080505,3,5
