Name, Value, Epoch, Run
f_activation.alpha,0.08995959162712097,0,3
f_activation.beta,0.40635645389556885,0,3
layer1.0.f_activation.alpha,0.08995959162712097,0,3
layer1.0.f_activation.beta,0.40635645389556885,0,3
layer1.1.f_activation.alpha,0.08995959162712097,0,3
layer1.1.f_activation.beta,0.40635645389556885,0,3
layer2.0.f_activation.alpha,0.08995959162712097,0,3
layer2.0.f_activation.beta,0.40635645389556885,0,3
layer2.1.f_activation.alpha,0.08995959162712097,0,3
layer2.1.f_activation.beta,0.40635645389556885,0,3
layer3.0.f_activation.alpha,0.08995959162712097,0,3
layer3.0.f_activation.beta,0.40635645389556885,0,3
layer3.1.f_activation.alpha,0.08995959162712097,0,3
layer3.1.f_activation.beta,0.40635645389556885,0,3
layer4.0.f_activation.alpha,0.08995959162712097,0,3
layer4.0.f_activation.beta,0.40635645389556885,0,3
layer4.1.f_activation.alpha,0.08995959162712097,0,3
layer4.1.f_activation.beta,0.40635645389556885,0,3
f_activation.alpha,1.2025330066680908,1,3
f_activation.beta,0.7204806804656982,1,2
layer1.0.f_activation.alpha,0.005812543909996748,1,2
layer1.0.f_activation.beta,0.782387912273407,1,2
layer1.1.f_activation.alpha,0.08344289660453796,1,2
layer1.1.f_activation.beta,0.0040357764810323715,1,2
layer2.0.f_activation.alpha,0.33359989523887634,1,2
layer2.0.f_activation.beta,0.020947998389601707,1,2
layer2.1.f_activation.alpha,-0.027129583060741425,1,2
layer2.1.f_activation.beta,0.004314320161938667,1,2
layer3.0.f_activation.alpha,-0.10188660770654678,1,2
layer3.0.f_activation.beta,0.0008581412839703262,1,2
layer3.1.f_activation.alpha,-0.02085532248020172,1,2
layer3.1.f_activation.beta,-0.0012736850185319781,1,2
layer4.0.f_activation.alpha,1.76813805103302,1,2
layer4.0.f_activation.beta,-1.7321803170489147e-05,1,2
layer4.1.f_activation.alpha,-0.27943694591522217,1,2
layer4.1.f_activation.beta,-0.7495390772819519,1,2
f_activation.alpha,1.368527889251709,2,2
f_activation.beta,0.734057605266571,2,2
layer1.0.f_activation.alpha,-0.039814017713069916,2,2
layer1.0.f_activation.beta,1.2295078039169312,2,2
layer1.1.f_activation.alpha,-0.001238713157363236,2,2
layer1.1.f_activation.beta,0.5309457778930664,2,2
layer2.0.f_activation.alpha,0.4158329665660858,2,2
layer2.0.f_activation.beta,-0.013186114840209484,2,2
layer2.1.f_activation.alpha,0.051659874618053436,2,2
layer2.1.f_activation.beta,-0.14145220816135406,2,2
layer3.0.f_activation.alpha,-0.028768444433808327,2,2
layer3.0.f_activation.beta,0.0015756827779114246,2,2
layer3.1.f_activation.alpha,0.07432516664266586,2,2
layer3.1.f_activation.beta,0.019968613982200623,2,2
layer4.0.f_activation.alpha,2.0703275203704834,2,2
layer4.0.f_activation.beta,-0.0008277053129859269,2,2
layer4.1.f_activation.alpha,-0.2269536554813385,2,2
layer4.1.f_activation.beta,-0.893462061882019,2,2
f_activation.alpha,1.477893352508545,3,2
f_activation.beta,0.7072410583496094,3,2
layer1.0.f_activation.alpha,-0.008799782022833824,3,2
layer1.0.f_activation.beta,1.1755976676940918,3,2
layer1.1.f_activation.alpha,0.0814577266573906,3,2
layer1.1.f_activation.beta,0.5604594945907593,3,2
layer2.0.f_activation.alpha,0.300538569688797,3,2
layer2.0.f_activation.beta,-0.013335532508790493,3,2
layer2.1.f_activation.alpha,-0.019897980615496635,3,2
layer2.1.f_activation.beta,0.07204961776733398,3,2
